earn_low,earn_high,credit_qc0,credit_qc1,credit_qc2,credit_qc3
15201,15250,115,362,470,475
15251,15300,114,360,468,473
15301,15350,114,359,467,472
15351,15400,114,358,465,470
15401,15450,113,357,464,468
15451,15500,113,356,462,467
15501,15550,113,354,460,465
15551,15600,112,353,459,464
15601,15650,112,352,457,462
15651,15700,111,351,456,460
15701,15750,111,349,454,459
15751,15800,111,348,452,457
15801,15850,110,347,451,456
15851,15900,110,346,449,454
15901,15950,109,345,448,452
15951,16000,109,343,446,451
16001,16050,109,342,444,449
16051,16100,108,341,443,448
16101,16150,108,340,441,446
16151,16200,107,338,440,444
16201,16250,107,337,438,443
16251,16300,107,336,437,441
16301,16350,106,335,435,439
16351,16400,106,334,433,438
16401,16450,105,332,432,436
16451,16500,105,331,430,435
16501,16550,105,330,429,433
16551,16600,104,329,427,431
16601,16650,104,327,425,430
16651,16700,104,326,424,428
16701,16750,103,325,422,427
16751,16800,103,324,421,425
16801,16850,102,323,419,423
16851,16900,102,321,417,422
16901,16950,102,320,416,420
16951,17000,101,319,414,419
17001,17050,101,318,413,417
17051,17100,100,316,411,415
17101,17150,100,315,409,414
17151,17200,100,314,408,412
17201,17250,99,313,406,411
17251,17300,99,311,405,409
17301,17350,98,310,403,407
17351,17400,98,309,401,406
17401,17450,98,308,400,404
17451,17500,97,307,398,403
17501,17550,97,305,397,401
17551,17600,96,304,395,399
17601,17650,96,303,393,398
17651,17700,96,302,392,396
17701,17750,95,300,390,395
17751,17800,95,299,389,393
17801,17850,95,298,387,391
17851,17900,94,297,386,390
17901,17950,94,296,384,388
17951,18000,93,294,382,386
18001,18050,93,293,381,385
18051,18100,93,292,379,383
18101,18150,92,291,378,382
18151,18200,92,289,376,380
18201,18250,91,288,374,378
18251,18300,91,287,373,377
18301,18350,91,286,371,375
18351,18400,90,285,370,374
18401,18450,90,283,368,372
18451,18500,89,282,366,370
18501,18550,89,281,365,369
18551,18600,89,280,363,367
18601,18650,88,278,362,366
18651,18700,88,277,360,364
18701,18750,87,276,358,362
18751,18800,87,275,357,361
18801,18850,87,274,355,359
18851,18900,86,272,354,358
18901,18950,86,271,352,356
18951,19000,86,270,350,354
19001,19050,85,269,349,353
19051,19100,85,267,347,351
19101,19150,84,266,346,350
19151,19200,84,265,344,348
19201,19250,84,264,342,346
19251,19300,83,263,341,345
19301,19350,83,261,339,343
19351,19400,82,260,338,341
19401,19450,82,259,336,340
19451,19500,82,258,335,338
19501,19550,81,256,333,337
19551,19600,81,255,331,335
19601,19650,80,254,330,333
19651,19700,80,253,328,332
19701,19750,80,252,327,330
19751,19800,79,250,325,329
19801,19850,79,249,323,327
19851,19900,79,248,322,325
19901,19950,78,247,320,324
19951,20000,78,245,319,322
20001,20050,77,244,317,321
20051,20100,77,243,315,319
20101,20150,77,242,314,317
20151,20200,76,240,312,316
20201,20250,76,239,311,314
20251,20300,75,238,309,313
20301,20350,75,237,307,311
20351,20400,75,236,306,309
20401,20450,74,234,304,308
20451,20500,74,233,303,306
20501,20550,73,232,301,305
20551,20600,73,231,299,303
20601,20650,73,229,298,301
20651,20700,72,228,296,300
20701,20750,72,227,295,298
20751,20800,71,226,293,297
20801,20850,71,225,291,295
20851,20900,71,223,290,293
20901,20950,70,222,288,292
20951,21000,70,221,287,290
21001,21050,70,220,285,288
21051,21100,69,218,284,287
21101,21150,69,217,282,285
21151,21200,68,216,280,284
21201,21250,68,215,279,282
21251,21300,68,214,277,280
21301,21350,67,212,276,279
21351,21400,67,211,274,277
21401,21450,66,210,272,276
21451,21500,66,209,271,274
21501,21550,66,207,269,272
21551,21600,65,206,268,271
21601,21650,65,205,266,269
21651,21700,64,204,264,268
21701,21750,64,203,263,266
21751,21800,64,201,261,264
21801,21850,63,200,260,263
21851,21900,63,199,258,261
21901,21950,62,198,256,260
21951,22000,62,196,255,258
22001,22050,62,195,253,256
22051,22100,61,194,252,255
22101,22150,61,193,250,253
22151,22200,61,192,248,252
22201,22250,60,190,247,250
22251,22300,60,189,245,248
22301,22350,59,188,244,247
22351,22400,59,187,242,245
22401,22450,59,185,240,243
22451,22500,58,184,239,242
22501,22550,58,183,237,240
22551,22600,57,182,236,239
22601,22650,57,181,234,237
22651,22700,57,179,233,235
22701,22750,56,178,231,234
22751,22800,56,177,229,232
22801,22850,55,176,228,231
22851,22900,55,174,226,229
22901,22950,55,173,225,227
22951,23000,54,172,223,226
23001,23050,54,171,221,224
23051,23100,53,170,220,223
23101,23150,53,168,218,221
23151,23200,53,167,217,219
23201,23250,52,166,215,218
23251,23300,52,165,213,216
23301,23350,52,163,212,215
23351,23400,51,162,210,213
23401,23450,51,161,209,211
23451,23500,50,160,207,210
23501,23550,50,158,205,208
23551,23600,50,157,204,207
23601,23650,49,156,202,205
23651,23700,49,155,201,203
23701,23750,48,154,199,202
23751,23800,48,152,197,200
23801,23850,48,151,196,199
23851,23900,47,150,194,197
23901,23950,47,149,193,195
23951,24000,46,147,191,194
24001,24050,46,146,189,192
24051,24100,46,145,188,190
24101,24150,45,144,186,189
24151,24200,45,143,185,187
24201,24250,44,141,183,186
24251,24300,44,140,182,184
24301,24350,44,139,180,182
24351,24400,43,138,178,181
24401,24450,43,136,177,179
24451,24500,43,135,175,178
24501,24550,42,134,174,176
24551,24600,42,133,172,174
24601,24650,41,132,170,173
24651,24700,41,130,169,171
24701,24750,41,129,167,170
24751,24800,40,128,166,168
24801,24850,40,127,164,166
24851,24900,39,125,162,165
24901,24950,39,124,161,163
24951,25000,39,123,159,162
25001,25050,38,122,158,160
25051,25100,38,121,156,158
25101,25150,37,119,154,157
25151,25200,37,118,153,155
25201,25250,37,117,151,154
25251,25300,36,116,150,152
25301,25350,36,114,148,150
25351,25400,35,113,146,149
25401,25450,35,112,145,147
25451,25500,35,111,143,145
25501,25550,34,110,142,144
25551,25600,34,108,140,142
25601,25650,34,107,138,141
25651,25700,33,106,137,139
25701,25750,33,105,135,137
25751,25800,32,103,134,136
25801,25850,32,102,132,134
25851,25900,32,101,131,133
25901,25950,31,100,129,131
25951,26000,31,99,127,129
26001,26050,30,97,126,128
26051,26100,30,96,124,126
26101,26150,30,95,123,125
26151,26200,29,94,121,123
26201,26250,29,92,119,121
26251,26300,28,91,118,120
26301,26350,28,90,116,118
26351,26400,28,89,115,117
26401,26450,27,87,113,115
26451,26500,27,86,111,113
26501,26550,26,85,110,112
26551,26600,26,84,108,110
26601,26650,26,83,107,109
26651,26700,25,81,105,107
26701,26750,25,80,103,105
26751,26800,25,79,102,104
26801,26850,24,78,100,102
26851,26900,24,76,99,101
26901,26950,23,75,97,99
26951,27000,23,74,95,97
27001,27050,23,73,94,96
27051,27100,22,72,92,94
27101,27150,22,70,91,92
27151,27200,21,69,89,91
27201,27250,21,68,87,89
27251,27300,21,67,86,88
27301,27350,20,65,84,86
27351,27400,20,64,83,84
27401,27450,19,63,81,83
27451,27500,19,62,80,81
27501,27550,19,61,78,80
27551,27600,18,59,76,78
27601,27650,18,58,75,76
27651,27700,18,57,73,75
27701,27750,17,56,72,73
27751,27800,17,54,70,72
27801,27850,16,53,68,70
27851,27900,16,52,67,68
27901,27950,16,51,65,67
27951,28000,15,50,64,65
28001,28050,15,48,62,64
28051,28100,14,47,60,62
28101,28150,14,46,59,60
28151,28200,14,45,57,59
28201,28250,13,43,56,57
28251,28300,13,42,54,56
28301,28350,12,41,52,54
28351,28400,12,40,51,52
28401,28450,12,39,49,51
28451,28500,11,37,48,49
28501,28550,11,36,46,48
28551,28600,10,35,44,46
28601,28650,10,34,43,44
28651,28700,10,32,41,43
28701,28750,9,31,40,41
28751,28800,9,30,38,39
28801,28850,9,29,36,38
28851,28900,8,28,35,36
28901,28950,8,26,33,35
28951,29000,7,25,32,33
29001,29050,7,24,30,31
29051,29100,7,23,29,30
29101,29150,6,21,27,28
29151,29200,6,20,25,27
29201,29250,5,19,24,25
29251,29300,5,18,22,23
29301,29350,5,17,21,22
29351,29400,4,15,19,20
29401,29450,4,14,17,19
29451,29500,3,13,16,17
29501,29550,3,12,14,15
29551,29600,3,10,13,14
29601,29650,2,9,11,12
29651,29700,2,8,9,11
29701,29750,1,7,8,9
29751,29800,1,5,6,7
29801,29850,1,4,5,6
29851,29900,1,3,3,4
29901,29950,1,2,1,3
29951,30000,1,1,1,1
