outcome,state_sample,edu_sample,age_sample,pre_period,ctrl_demo,ctrl_unemp,ctrl_mw,tau,se,ci_lower,ci_upper,n_obs,pre_mean,significant
part_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,0,0,2.3778021,.50562918,1.3867689,3.3688354,369974,18.296629,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,1,1,4.3992662,.55459374,3.3122625,5.48627,264545,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,1,1,3.4416397,.54685771,2.3697987,4.5134807,346421,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,0,1,3.8382862,.49952185,2.8592234,4.817349,264545,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,0,1,2.7923212,.54048175,1.7329769,3.8516653,346421,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,1,0,3.3915298,.80095303,1.8216619,4.9613976,264545,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,1,0,2.66155,.67012876,1.3480976,3.9750023,346421,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,0,0,2.9197087,.67425275,1.5981735,4.2412443,264545,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,0,0,2.0900433,.57378221,.96543008,3.2146564,346421,18.77276,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,1,1,4.5522838,.69542831,3.189244,5.9153233,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,1,1,4.5548735,.6453861,3.2899168,5.8198304,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,0,1,4.1776328,.60185021,2.9980063,5.3572593,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,0,1,4.1647263,.60664386,2.9757042,5.3537478,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,1,0,3.566299,.87609321,1.8491563,5.2834415,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,1,0,3.6309829,.8110801,2.041266,5.2206998,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,0,0,3.2778087,.75798285,1.7921623,4.7634549,211364,18.99795,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,0,0,3.3280504,.71767724,1.9214029,4.7346978,211364,18.99795,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,1,1,2.0547671,.40669942,1.2576362,2.851898,1000867,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,1,1,1.5950525,.35666865,.89598185,2.2941229,1303835,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,0,1,2.1654279,.38662377,1.4076455,2.9232106,1000867,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,0,1,1.7079731,.3455323,1.0307298,2.3852165,1303835,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,1,0,1.7526773,.31163988,1.1418631,2.3634915,1000867,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,1,0,1.4458188,.29620382,.86525935,2.0263784,1303835,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,0,0,1.8507102,.22503969,1.4096324,2.2917881,1000867,18.225668,1
part_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,0,0,1.5646784,.20196046,1.168836,1.960521,1303835,18.225668,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,1,1,2.7101383,.40541154,1.9155318,3.504745,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,1,1,2.6362298,.41822523,1.8165083,3.4559512,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,0,1,2.687433,.40135869,1.9007699,3.4740961,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,0,1,2.5808191,.41181463,1.7736624,3.3879757,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,1,0,2.3812881,.29550171,1.8021047,2.9604714,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,1,0,2.4999514,.30492878,1.9022909,3.0976119,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,0,0,2.3224721,.2240169,1.8833989,2.7615452,806163,18.296629,1
part_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,0,0,2.4257069,.21758774,1.9992349,2.8521788,806163,18.296629,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,1,1,3.5699799,.39361587,2.7984927,4.3414669,614317,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,1,1,2.6498187,.4000966,1.8656293,3.4340081,809419,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,0,1,3.6384449,.4033851,2.84781,4.4290795,614317,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,0,1,2.7679029,.44153631,1.9024916,3.6333139,809419,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,1,0,2.614948,.44144949,1.749707,3.4801891,614317,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,1,0,2.0750911,.41495344,1.2617825,2.8883998,809419,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,0,0,2.6086702,.33861712,1.9449807,3.2723598,614317,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,0,0,2.1682487,.30389476,1.572615,2.7638824,809419,18.77276,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,1,1,4.0266771,.42954597,3.1847672,4.8685875,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,1,1,3.9947813,.41897202,3.1735961,4.8159666,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,0,1,3.9893169,.43380156,3.1390657,4.8395677,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,0,1,3.9692833,.44442448,3.0982115,4.8403554,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,1,0,3.0089219,.47794899,2.0721419,3.9457021,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,1,0,3.1783144,.47421739,2.2488484,4.1077805,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,0,0,2.8762851,.36625811,2.1584191,3.5941508,489322,18.99795,1
part_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,0,0,3.0828414,.35326633,2.3904395,3.7752435,489322,18.99795,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,1,1,1.9032127,.42545426,1.0693222,2.737103,1126045,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,1,1,1.4024143,.40073314,.61697733,2.1878512,1465433,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,0,1,2.1719625,.37265766,1.4415535,2.9023714,1126045,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,0,1,1.6844796,.33995062,1.0181764,2.3507829,1465433,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,1,0,1.7062503,.31659663,1.0857209,2.3267796,1126045,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,1,0,1.4260124,.32325512,.79243231,2.0595925,1465433,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,0,0,2.0033169,.2264128,1.5595477,2.4470859,1126045,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,0,0,1.7620475,.2245108,1.3220063,2.2020888,1465433,18.225668,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,1,1,2.4861209,.44186968,1.6200564,3.3521855,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,1,1,2.3918478,.46173033,1.4868565,3.2968392,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,0,1,2.716944,.38090432,1.9703715,3.4635165,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,0,1,2.5965137,.39363474,1.8249898,3.3680379,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,1,0,2.2507277,.31779006,1.6278592,2.8735962,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,1,0,2.3628559,.32621497,1.7234745,3.0022373,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,0,0,2.499994,.23734815,2.0347917,2.9651966,907112,18.296629,1
part_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,0,0,2.6043651,.23484629,2.1440663,3.0646639,907112,18.296629,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,1,1,3.3929467,.4502157,2.510524,4.2753696,693509,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,1,1,2.4315593,.4444758,1.5603869,3.302732,912595,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,0,1,3.5366962,.40048596,2.7517436,4.3216486,693509,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,0,1,2.6762745,.41989195,1.8532864,3.4992628,912595,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,1,0,2.6345189,.44723594,1.7579364,3.5111012,693509,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,1,0,2.0845025,.43967798,1.2227337,2.9462714,912595,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,0,0,2.7406721,.31694162,2.1194665,3.3618777,693509,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,0,0,2.3512673,.29631925,1.7704817,2.9320531,912595,18.77276,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,1,1,3.760057,.52522218,2.7306213,4.7894921,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,1,1,3.6901276,.52138138,2.66822,4.7120352,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,0,1,3.9045663,.42978409,3.0621893,4.746943,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,0,1,3.8572068,.44065699,2.9935193,4.7208948,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,1,0,2.9338126,.48779851,1.9777275,3.8898978,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,1,0,3.0876212,.48971257,2.1277847,4.0474577,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,0,0,3.0387123,.34543294,2.3616636,3.7157607,552713,18.99795,1
part_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,0,0,3.2437706,.33490747,2.587352,3.9001894,552713,18.99795,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,1,1,2.7235272,.49627247,1.7508332,3.6962214,342907,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,1,1,2.0517983,.5051434,1.0617173,3.0418794,445064,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,0,1,2.7177486,.45348096,1.8289258,3.6065712,342907,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,0,1,2.1514738,.38642508,1.3940806,2.9088669,445064,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,1,0,2.1811421,.83812922,.53840864,3.8238752,342907,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,1,0,1.5433428,.85419971,-.13088858,3.2175744,445064,18.498075,0
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,0,0,1.9988474,.57478899,.87226093,3.1254337,342907,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,0,0,1.4891539,.50369102,.50191945,2.4763882,445064,18.498075,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,1,1,3.0953546,.64488226,1.8313853,4.359324,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,1,1,2.9353793,.65074641,1.6599163,4.2108421,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,0,1,3.160145,.59248668,1.9988712,4.3214188,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,0,1,3.0473652,.61179733,1.8482424,4.2464881,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,1,0,2.6169407,.8751018,.90174127,4.3321404,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,1,0,2.4585097,.88409787,.72567785,4.1913414,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,0,0,2.5387952,.64517111,1.2742598,3.8033307,278467,18.586363,1
part_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,0,0,2.433022,.65217781,1.1547536,3.7112906,278467,18.586363,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,1,1,4.1705637,.76273036,2.675612,5.6655149,196107,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,1,1,3.0992768,.68315548,1.7602922,4.4382615,258054,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,0,1,4.0102019,.75989389,2.5208099,5.4995942,196107,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,0,1,3.1559057,.67983723,1.8234247,4.4883866,258054,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,1,0,3.3131678,1.1106901,1.1362153,5.4901204,196107,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,1,0,2.3566859,.94917238,.49630797,4.2170639,258054,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,0,0,2.9795847,.89051121,1.2341828,4.724987,196107,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,0,0,2.2690606,.72388852,.85023916,3.6878822,258054,19.027649,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,1,1,4.1375299,.95256728,2.2704983,6.0045619,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,1,1,3.9796116,.91315329,2.1898313,5.769392,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,0,1,4.1869569,.9067446,2.4097371,5.9641762,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,0,1,4.0900412,.90333849,2.3194978,5.8605847,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,1,0,3.3194058,1.2381558,.89262038,5.7461915,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,1,0,3.2337618,1.1651284,.95011026,5.5174131,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,0,0,3.2367876,.99360204,1.2893275,5.1842475,156672,19.245716,1
part_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,0,0,3.2299063,.94625705,1.3752426,5.0845704,156672,19.245716,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,1,1,2.2829192,.4487032,1.4034607,3.1623774,750679,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,1,1,1.8193699,.37542659,1.0835339,2.5552061,981311,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,0,1,2.3748205,.46479177,1.4638286,3.2858124,750679,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,0,1,1.9726131,.3815825,1.2247114,2.7205148,981311,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,1,0,1.8544793,.41586617,1.0393816,2.6695769,750679,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,1,0,1.4785669,.37680742,.74002433,2.2171094,981311,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,0,0,1.8792036,.27249241,1.3451184,2.4132886,750679,18.498075,1
part_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,0,0,1.6020387,.24448696,1.1228442,2.0812333,981311,18.498075,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,1,1,2.7759345,.52022636,1.7562909,3.7955782,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,1,1,2.6728287,.52595264,1.6419616,3.7036958,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,0,1,2.7786839,.53703129,1.7261025,3.8312652,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,0,1,2.6747766,.5494107,1.5979315,3.7516215,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,1,0,2.3930395,.43147171,1.5473548,3.238724,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,1,0,2.4221137,.41872552,1.6014116,3.2428157,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,0,0,2.3139155,.27348018,1.7778945,2.8499367,605562,18.586363,1
part_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,0,0,2.3716443,.27153534,1.8394351,2.9038537,605562,18.586363,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,1,1,3.699631,.55724925,2.6074224,4.7918396,454344,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,1,1,2.841985,.51904309,1.8246605,3.8593094,601637,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,0,1,3.7756925,.59518301,2.6091337,4.9422512,454344,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,0,1,3.064384,.5661853,1.9546607,4.1741071,601637,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,1,0,2.6260173,.63566661,1.3801109,3.8719239,454344,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,1,0,2.0479081,.53056669,1.0079973,3.0878186,601637,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,0,0,2.5352297,.43143892,1.6896094,3.3808501,454344,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,0,0,2.1919875,.38912916,1.4292945,2.9546807,601637,19.027649,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,1,1,3.9619138,.67689306,2.6352036,5.2886243,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,1,1,3.8636174,.65790129,2.574131,5.1531038,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,0,1,3.9600585,.66946042,2.6479161,5.2722011,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,0,1,3.8808074,.66887391,2.5698144,5.1918001,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,1,0,2.938262,.73567033,1.4963483,4.3801761,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,1,0,3.0308039,.6994518,1.6598785,4.4017296,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,0,0,2.7670054,.44121686,1.9022202,3.6317904,361865,19.245716,1
part_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,0,0,2.9197249,.42513183,2.0864666,3.7529833,361865,19.245716,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,1,1,2.3160932,.4782024,1.3788165,3.2533698,844610,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,1,1,1.815456,.41685912,.99841213,2.6324999,1102976,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,0,1,2.3258953,.45744267,1.4293077,3.2224829,844610,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,0,1,1.9055305,.37975532,1.1612101,2.6498508,1102976,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,1,0,2.0389097,.40947369,1.2363414,2.8414781,844610,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,1,0,1.6734434,.40270177,.88414794,2.4627388,1102976,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,0,0,2.000577,.26024354,1.4904997,2.5106544,844610,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,0,0,1.7617121,.24895844,1.2737535,2.2496705,1102976,18.498075,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,1,1,2.8054299,.53234786,1.762028,3.8488317,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,1,1,2.6899886,.5411033,1.6294262,3.7505512,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,0,1,2.7688107,.51574564,1.7579494,3.7796724,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,0,1,2.649919,.53102612,1.6091079,3.6907303,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,1,0,2.5315001,.40679657,1.7341789,3.3288214,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,1,0,2.5598474,.39615312,1.7833872,3.3363075,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,0,0,2.4351187,.26240295,1.920809,2.9494286,681382,18.586363,1
part_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,0,0,2.4850812,.26076198,1.9739877,2.9961746,681382,18.586363,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,1,1,1,3.7447858,.57965207,2.6086679,4.8809037,513028,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,0,1,1,2.8643849,.53463167,1.8165069,3.9122629,678400,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,1,0,1,3.6554556,.57569218,2.5270989,4.7838125,513028,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,0,0,1,2.9753053,.52979451,1.936908,4.0137024,678400,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,1,1,0,2.8874552,.61267537,1.6866115,4.0882988,513028,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,0,1,0,2.2864482,.54899287,1.2104222,3.3624742,678400,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,1,0,0,2.6493192,.38782552,1.889181,3.4094572,513028,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-64,Excl. 2010-11,0,0,0,2.3427968,.35480842,1.6473722,3.0382211,678400,19.027649,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,1,1,1,3.9832633,.68054569,2.6493936,5.3171325,408840,19.245716,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,0,1,1,3.8353283,.66943765,2.5232306,5.1474261,408840,19.245716,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,1,0,1,3.8827181,.64037508,2.627583,5.1378531,408840,19.245716,1
